#"Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)"
16800.00000250511,-423524.12480430584,78103.06611976959
17000.000002545854,-424239.7008602624,77946.03515911031
17200.0000025866,-425478.97507438646,78434.36983332923
17400.000002627345,-424656.75914629176,78600.07127204549
17600.00000266809,-425019.773637949,78274.47225179558
17800.000002708835,-425166.7724792976,78600.81501334684
18000.00000274958,-425033.7458782706,78975.77382215578
18200.000002790326,-424706.7699762359,79236.98346458666
18400.00000283107,-426165.59142001206,78880.66257345997
18600.000002871817,-423918.41693636496,78803.12595351948
18800.000002912562,-424525.6664368601,78527.55561883468
19000.000002953308,-424368.41281346255,78823.13593422945
19200.000002994053,-423878.72498027235,79280.22626510845
19400.0000030348,-424923.6581358358,78280.99837306455
19600.000003075544,-425513.99226295296,78711.32928278449
19800.00000311629,-423970.00571248913,78727.13387413239
20000.000003157034,-424723.0637220314,79114.89790847606
20200.00000319778,-425196.5329964587,79381.60579871666
20400.000003238525,-424017.8134868941,79403.02162374154
20600.00000327927,-424274.3219734777,77808.32727787504
20800.000003320016,-423534.4140201295,78202.02455700544
21000.00000336076,-425003.05464726756,78888.04945213947
21200.000003401507,-423691.6312622987,78468.16840154183
21400.000003442252,-424523.44273658167,77449.78187410289
21600.000003482997,-425206.0391403714,78934.94162402712
21800.000003523743,-424763.69643252925,80009.51909406099
22000.000003564488,-423988.56186465756,78747.53780990012
22200.000003605233,-424562.02264665556,79282.70953531319
22400.00000364598,-425368.33219814324,78635.83211281423
22600.000003686724,-424502.07636268646,79333.4080944123
22800.00000372747,-424810.7548191,78396.79653784528
23000.000003768215,-424435.8240159836,78819.42964281264
23200.00000380896,-423208.95304009784,78866.15679012431
23400.000003849706,-424874.5525368443,78662.40416996775
23600.00000389045,-423770.486602715,78453.5782242165
23800.000003931196,-424440.1825508268,78672.3376706671
24000.00000397194,-424405.3927096443,78232.56765073305
24200.000004012687,-425985.0105184943,78761.39732531889
24400.000004053432,-424607.88943812717,78635.98454094178
24600.000004094178,-424482.08803038485,78600.81256446638
24800.000004134923,-424732.0123486053,78483.25250106238
25000.00000417567,-424619.9141464096,78864.34683186986
25200.000004216414,-425273.66477374407,78236.12883681426
25400.00000425716,-424386.93861363735,77951.54649510235
25600.000004297905,-424178.9101624298,79091.77155320431
25800.00000433865,-424546.1517888212,78945.10392818373
26000.000004379395,-425269.0871340174,78078.65612106174
26200.00000442014,-425456.47399271745,78735.67434884515
26400.000004460886,-424975.3174518584,78704.50829847076
26600.00000450163,-423538.0883247142,78392.80097197054
26800.000004542377,-425124.96898396825,78657.46980662644
27000.000004583122,-424923.50242659776,78945.84809825325
27200.000004623867,-424923.94037535135,78590.18072706909
27400.000004664613,-424568.65474812756,78476.39751028526
27600.000004705358,-423993.0705342493,77965.3432771815
27800.000004746104,-423783.26964760874,79062.0031976127
28000.00000478685,-424539.7041614803,78609.49637019064
28200.000004827594,-424557.71014614357,78828.7042749452
28400.00000486834,-424077.9242926403,78693.00814843248
28600.000004909085,-424461.37238724995,79061.88038650242
28800.00000494983,-423486.5958217564,79432.26048546296
29000.000004990576,-424491.971646653,77816.92518584104
29200.00000503132,-424240.965447722,77459.52529057465
29400.000005072066,-425147.62397901784,79114.07105692569
29600.00000511281,-423858.18600528035,78882.50963704486
29800.000005153557,-425146.2145847932,78396.78824213095
30000.000005194303,-425384.1869169944,78358.41189657385
30200.000005235048,-424359.9136983105,79037.85637488589
30400.000005275793,-423174.01051404374,79016.61858672067
30600.00000531654,-425194.2911418583,78577.87397419717
30800.000005357284,-425108.0438165518,79181.73761794156
31000.00000539803,-424487.64318967913,78510.80594981319
31200.000005438775,-424069.7917809135,79143.6887650023
31400.00000547952,-424185.82143397303,78601.87530422013
31600.000005520265,-424462.46557705104,78626.62767598277
31800.00000556101,-425058.64892251766,78705.09074061416
32000.000005601756,-423508.47864376265,79656.08788780138
32200.0000056425,-424774.22179528116,78667.44721270085
32400.000005683247,-425075.8532583199,78952.13595259073
32600.000005723992,-422956.89295705524,79139.78988732572
32800.000005764734,-425196.8934010023,79088.13058090012
33000.00000580548,-424812.99763323995,78584.17585911113
33200.000005846225,-424871.65175795136,78649.92322403734
33400.00000588697,-425429.28412386635,79052.51134767855
33600.000005927715,-425123.52898693876,78937.58514606868
33800.00000596846,-425338.51733256504,78263.92016098497
34000.000006009206,-423987.8455661463,79222.6083129104
34200.00000604995,-425399.27258734684,79156.61065890882
34400.0000060907,-425470.51538136275,78540.83221493242
34600.00000613144,-423878.45404367475,78153.76547314273
34800.00000617219,-424383.4374928179,78971.38950941409
35000.00000621293,-424786.5211899043,78457.67189427384
35200.00000625368,-424076.8610434616,79077.26462299697
35400.000006294424,-423572.9737604931,78983.22946163325
35600.00000633517,-423798.0049240773,79274.9681904596
35800.000006375914,-425149.538289394,78331.56418708968
36000.00000641666,-423203.60362840164,78811.53094820143
36200.000006457405,-424894.2327782349,79078.99727790605
36400.00000649815,-424154.0336907208,79283.9521363189
36600.000006538896,-424059.0601526671,78658.10263609304
36800.00000657964,-425838.0515496286,78717.26541139714
37000.00000662039,-425121.05417576944,78488.3874757766
37200.00000666113,-425497.834245807,78684.0382580366
37400.00000670188,-425694.24971303507,79084.34867734136
37600.00000674262,-423888.5528325641,78930.3678466921
37800.00000678337,-424906.58724323614,78952.0703379123
38000.00000682411,-424236.8545016041,78322.80429159396
38200.00000686486,-424408.7299574581,78573.8123083068
38400.000006905604,-424874.9086005362,78355.05711823906
38600.00000694635,-424462.2562220297,79384.00295581413
38800.000006987095,-425093.4729448736,79166.19071992254
39000.00000702784,-424466.5410056291,78045.55028178042
39200.000007068586,-424847.75254494254,78740.20241112146
39400.00000710933,-425429.46359884436,78451.91913221125
39600.000007150076,-424415.0184955974,79803.70245414734
39800.00000719082,-423955.2602514613,79393.02291954268
40000.00000723157,-424139.32145160553,79222.97289006774
